User_ID,Topic,Self-Confidence,AI-Adjusted Confidence,Errors,Transition Difficulty,Learning Modality,Frustration
user_330,Few-shot Learning,10,9,Incorrect weight initialization,LOW,Reading & Notes,No
user_787,Zero-shot Learning,4,4,Confused reinforcement learning reward shaping,MEDIUM,Hands-on Coding,No
user_303,Few-shot Learning,1,1,None,LOW,Video,No
user_834,Few-shot Learning,7,5,None,MEDIUM,Video,No
user_250,Backpropagation,4,3,Confused convolutional filters,HIGH,Video,Yes
user_238,Backpropagation,9,7,None,MEDIUM,Video,No
user_122,Autoencoders,3,3,None,HIGH,Peer Discussion,No
user_844,Multi-modal Learning,4,3,None,LOW,Video,No
user_090,CNNs,9,8,Incorrect embedding interpretation,LOW,Video,No
user_170,Attention Mechanisms,1,1,None,LOW,Hands-on Coding,No
user_450,Self-supervised Learning,4,3,None,LOW,Reading & Notes,No
user_243,RNNs,1,1,Incorrect embedding interpretation,MEDIUM,Peer Discussion,No
user_467,Word Embeddings,5,3,None,HIGH,Reading & Notes,Yes
user_722,Transformers,8,8,None,HIGH,Video,Yes
user_220,Zero-shot Learning,4,3,None,LOW,Reading & Notes,No
user_250,CNNs,9,7,None,MEDIUM,Video,No
user_329,LLMs in Real-World Applications,10,10,Misused activation function,HIGH,Video,No
user_343,LLMs in Real-World Applications,10,10,None,HIGH,Peer Discussion,Yes
user_425,GANs,10,9,Confused convolutional filters,LOW,Peer Discussion,No
user_084,Autoencoders,9,7,None,LOW,Peer Discussion,No
user_244,Autoencoders,3,3,Misused dropout layers,HIGH,Hands-on Coding,No
user_786,GANs,4,2,Misused activation function,LOW,Video,No
user_107,Backpropagation,4,2,Confused batch vs. stochastic gradient descent,LOW,Peer Discussion,No
user_141,Reinforcement Learning,1,1,Misused dropout layers,LOW,Video,No
user_679,Few-shot Learning,3,1,Misunderstood positional encoding in transformers,MEDIUM,Video,No
user_212,Gradient Descent,3,3,Incorrect embedding interpretation,HIGH,Hands-on Coding,Yes
user_213,Neural Networks,8,6,None,MEDIUM,Peer Discussion,No
user_455,RNNs,9,7,Failed to normalize input data,LOW,Reading & Notes,No
user_277,Vector Search,5,4,Failed to normalize input data,LOW,Hands-on Coding,No
user_842,Word Embeddings,6,4,Confused convolutional filters,HIGH,Hands-on Coding,No
user_211,Word Embeddings,10,8,None,HIGH,Video,No
user_865,Neural Networks,5,5,Confused convolutional filters,HIGH,Reading & Notes,Yes
user_712,Diffusion Models,3,1,Misclassified overfitting vs underfitting,HIGH,Hands-on Coding,Yes
user_401,LLMs in Real-World Applications,9,7,None,MEDIUM,Reading & Notes,No
user_805,GANs,4,2,None,LOW,Video,No
user_480,Overfitting and Regularization,5,5,Misused dropout layers,MEDIUM,Video,No
user_582,Word Embeddings,4,3,None,LOW,Hands-on Coding,No
user_750,GANs,1,1,Misused dropout layers,MEDIUM,Hands-on Coding,No
user_336,Gradient Descent,8,6,Incorrect weight initialization,HIGH,Hands-on Coding,Yes
user_881,LLMs in Real-World Applications,1,1,None,MEDIUM,Peer Discussion,No
user_542,Few-shot Learning,1,1,Confused convolutional filters,HIGH,Peer Discussion,No
user_754,Vector Search,3,3,None,MEDIUM,Reading & Notes,No
user_443,Multi-modal Learning,2,1,None,HIGH,Video,No
